lat,lon,date,city,country
,,05/14/2014 09:07,West Drayton,United Kingdom
,,05/14/2014 09:22,Hounslow,United Kingdom
,,05/14/2014 10:51,Hounslow,United Kingdom
,,05/14/2014 11:24,Hounslow,United Kingdom
,,05/14/2014 11:38,Hounslow,United Kingdom
,,05/14/2014 12:23,Hounslow,United Kingdom
,,05/14/2014 12:38,Hounslow,United Kingdom
,,05/14/2014 15:11,Lisbon,Portugal
,,05/14/2014 15:25,Lisbon,Portugal
,,05/14/2014 15:41,Lisbon,Portugal
,,05/14/2014 15:55,Lisbon,Portugal
,,05/14/2014 16:11,Lisbon,Portugal
,,05/14/2014 16:25,Lisbon,Portugal
,,05/14/2014 16:40,Lisbon,Portugal
,,05/14/2014 16:55,Lisbon,Portugal
,,05/14/2014 17:25,Lisbon,Portugal
,,05/14/2014 17:40,Lisbon,Portugal
,,05/14/2014 18:10,Lisbon,Portugal
,,05/14/2014 18:25,Lisbon,Portugal
,,05/14/2014 18:40,Lisbon,Portugal
,,05/14/2014 18:55,Lisbon,Portugal
,,05/14/2014 19:10,Lisbon,Portugal
,,05/14/2014 19:26,Lisbon,Portugal
,,05/14/2014 19:40,Lisbon,Portugal
,,05/14/2014 19:55,Lisbon,Portugal
,,05/14/2014 20:40,Lisbon,Portugal
,,05/14/2014 21:10,Lisbon,Portugal
,,05/14/2014 21:25,Lisbon,Portugal
,,05/14/2014 21:51,Lisbon,Portugal
,,05/14/2014 22:05,Lisbon,Portugal
,,05/14/2014 22:19,Lisbon,Portugal
,,05/14/2014 22:35,Lisbon,Portugal
,,05/14/2014 22:50,Lisbon,Portugal
,,05/14/2014 23:05,Lisbon,Portugal
,,05/14/2014 23:20,Lisbon,Portugal
,,05/14/2014 23:50,Lisbon,Portugal
,,05/15/2014 00:20,Lisbon,Portugal
,,05/15/2014 00:50,Lisbon,Portugal
,,05/15/2014 01:20,Lisbon,Portugal
,,05/15/2014 01:49,Lisbon,Portugal
,,05/15/2014 02:20,Lisbon,Portugal
,,05/15/2014 02:49,Lisbon,Portugal
,,05/15/2014 03:20,Lisbon,Portugal
,,05/15/2014 03:50,Lisbon,Portugal
,,05/15/2014 04:36,Lisbon,Portugal
,,05/15/2014 05:05,Lisbon,Portugal
,,05/15/2014 05:35,Lisbon,Portugal
,,05/15/2014 06:05,Lisbon,Portugal
,,05/15/2014 06:34,Lisbon,Portugal
,,05/15/2014 07:05,Lisbon,Portugal
,,05/15/2014 07:35,Lisbon,Portugal
,,05/15/2014 08:04,Lisbon,Portugal
,,05/15/2014 08:35,Lisbon,Portugal
,,05/15/2014 09:20,Lisbon,Portugal
,,05/15/2014 09:35,Lisbon,Portugal
,,05/15/2014 09:50,Lisbon,Portugal
,,05/15/2014 10:05,Lisbon,Portugal
,,05/15/2014 10:20,Lisbon,Portugal
,,05/15/2014 10:35,Lisbon,Portugal
,,05/15/2014 10:50,Lisbon,Portugal
,,05/15/2014 11:05,Lisbon,Portugal
,,05/15/2014 11:34,Lisbon,Portugal
,,05/15/2014 11:50,Lisbon,Portugal
,,05/15/2014 12:06,Lisbon,Portugal
,,05/15/2014 12:21,Lisbon,Portugal
,,05/15/2014 13:06,Lisbon,Portugal
,,05/15/2014 13:23,Lisbon,Portugal
,,05/15/2014 13:36,Lisbon,Portugal
,,05/15/2014 13:50,Lisbon,Portugal
,,05/15/2014 14:05,Lisbon,Portugal
,,05/15/2014 14:19,Lisbon,Portugal
,,05/15/2014 14:36,Lisbon,Portugal
,,05/15/2014 14:50,Lisbon,Portugal
,,05/15/2014 15:05,Lisbon,Portugal
,,05/15/2014 15:19,Lisbon,Portugal
,,05/15/2014 15:35,Lisbon,Portugal
,,05/15/2014 15:50,Lisbon,Portugal
,,05/15/2014 16:05,Lisbon,Portugal
,,05/15/2014 16:19,Lisbon,Portugal
,,05/15/2014 16:36,Lisbon,Portugal
,,05/15/2014 16:49,Lisbon,Portugal
,,05/15/2014 18:20,Lisbon,Portugal
,,05/15/2014 18:50,Lisbon,Portugal
,,05/15/2014 19:05,Lisbon,Portugal
,,05/15/2014 19:34,Lisbon,Portugal
,,05/15/2014 19:48,Lisbon,Portugal
,,05/15/2014 20:03,Lisbon,Portugal
,,05/15/2014 20:32,Lisbon,Portugal
,,05/15/2014 20:48,Lisbon,Portugal
,,05/15/2014 21:03,Lisbon,Portugal
,,05/15/2014 21:18,Lisbon,Portugal
,,05/15/2014 21:33,Lisbon,Portugal
,,05/15/2014 21:47,Lisbon,Portugal
,,05/15/2014 22:17,Lisbon,Portugal
,,05/15/2014 22:48,Lisbon,Portugal
,,05/15/2014 23:18,Lisbon,Portugal
,,05/15/2014 23:48,Lisbon,Portugal
,,05/16/2014 00:18,Lisbon,Portugal
,,05/16/2014 00:48,Lisbon,Portugal
,,05/16/2014 01:18,Lisbon,Portugal
,,05/16/2014 01:48,Lisbon,Portugal
,,05/16/2014 02:03,Lisbon,Portugal
,,05/16/2014 02:18,Lisbon,Portugal
,,05/16/2014 02:48,Lisbon,Portugal
,,05/16/2014 03:18,Lisbon,Portugal
,,05/16/2014 03:48,Lisbon,Portugal
,,05/16/2014 04:18,Lisbon,Portugal
,,05/16/2014 04:32,Lisbon,Portugal
,,05/16/2014 05:03,Lisbon,Portugal
,,05/16/2014 05:33,Lisbon,Portugal
,,05/16/2014 06:02,Lisbon,Portugal
,,05/16/2014 06:32,Lisbon,Portugal
,,05/16/2014 07:03,Lisbon,Portugal
,,05/16/2014 07:33,Lisbon,Portugal
,,05/16/2014 08:03,Lisbon,Portugal
,,05/16/2014 08:33,Lisbon,Portugal
,,05/16/2014 08:59,Lisbon,Portugal
,,05/16/2014 09:13,Lisbon,Portugal
,,05/16/2014 09:28,Lisbon,Portugal
,,05/16/2014 10:13,Lisbon,Portugal
,,05/16/2014 10:28,Lisbon,Portugal
,,05/16/2014 10:43,Amadora,Portugal
,,05/16/2014 10:58,Algueirão-Mem Martins,Portugal
,,05/16/2014 11:13,Sintra,Portugal
,,05/16/2014 11:28,Sintra,Portugal
,,05/16/2014 12:43,Sintra,Portugal
,,05/16/2014 13:28,Sintra,Portugal
,,05/16/2014 13:43,Sintra,Portugal
,,05/16/2014 14:43,Sintra,Portugal
,,05/16/2014 15:13,Sintra,Portugal
,,05/16/2014 15:43,Sintra,Portugal
,,05/16/2014 15:58,Lisbon,Portugal
,,05/16/2014 16:13,Sintra,Portugal
,,05/16/2014 16:28,Sintra,Portugal
,,05/16/2014 16:43,Sintra,Portugal
,,05/16/2014 16:58,Sintra,Portugal
,,05/16/2014 17:13,Lisbon,Portugal
,,05/16/2014 17:28,Damaia,Portugal
,,05/16/2014 17:43,Lisbon,Portugal
,,05/16/2014 17:58,Lisbon,Portugal
,,05/16/2014 18:13,Lisbon,Portugal
,,05/16/2014 18:55,Lisbon,Portugal
,,05/16/2014 19:09,Lisbon,Portugal
,,05/16/2014 19:24,Lisbon,Portugal
,,05/16/2014 19:54,Lisbon,Portugal
,,05/16/2014 20:09,Lisbon,Portugal
,,05/16/2014 20:24,Lisbon,Portugal
,,05/16/2014 20:39,Lisbon,Portugal
,,05/16/2014 21:09,Lisbon,Portugal
,,05/16/2014 22:09,Lisbon,Portugal
,,05/16/2014 22:39,Lisbon,Portugal
,,05/16/2014 23:09,Lisbon,Portugal
,,05/16/2014 23:24,Lisbon,Portugal
,,05/16/2014 23:39,Lisbon,Portugal
,,05/17/2014 00:09,Lisbon,Portugal
,,05/17/2014 00:39,Lisbon,Portugal
,,05/17/2014 01:09,Lisbon,Portugal
,,05/17/2014 01:39,Lisbon,Portugal
,,05/17/2014 01:54,Lisbon,Portugal
,,05/17/2014 02:09,Lisbon,Portugal
,,05/17/2014 02:24,Lisbon,Portugal
,,05/17/2014 02:54,Lisbon,Portugal
,,05/17/2014 03:24,Lisbon,Portugal
,,05/17/2014 03:54,Lisbon,Portugal
,,05/17/2014 04:24,Lisbon,Portugal
,,05/17/2014 04:54,Lisbon,Portugal
,,05/17/2014 05:24,Lisbon,Portugal
,,05/17/2014 05:54,Lisbon,Portugal
,,05/17/2014 06:24,Lisbon,Portugal
,,05/17/2014 06:54,Lisbon,Portugal
,,05/17/2014 07:24,Lisbon,Portugal
,,05/17/2014 07:54,Lisbon,Portugal
,,05/17/2014 08:09,Lisbon,Portugal
,,05/17/2014 08:24,Lisbon,Portugal
,,05/17/2014 08:54,Lisbon,Portugal
,,05/17/2014 09:09,Lisbon,Portugal
,,05/17/2014 09:24,Lisbon,Portugal
,,05/17/2014 09:39,Lisbon,Portugal
,,05/17/2014 09:54,Lisbon,Portugal
,,05/17/2014 10:09,Lisbon,Portugal
,,05/17/2014 11:12,Azambuja,Portugal
,,05/17/2014 11:27,Santarém,Portugal
,,05/17/2014 11:42,Zibreira,Portugal
,,05/17/2014 11:58,Ourém Municipality,Portugal
,,05/17/2014 12:12,São Mamede,Portugal
,,05/17/2014 12:28,Leiria District,Portugal
,,05/17/2014 12:43,Leiria District,Portugal
,,05/17/2014 12:58,Coimbra Municipality,Portugal
,,05/17/2014 13:28,Aveiro District,Portugal
,,05/17/2014 13:42,Aveiro District,Portugal
,,05/17/2014 13:58,Vila Nova de Gaia,Portugal
,,05/17/2014 15:13,Porto,Portugal
,,05/17/2014 15:28,Porto,Portugal
,,05/17/2014 15:42,Porto,Portugal
,,05/17/2014 15:58,Porto,Portugal
,,05/17/2014 16:12,Porto,Portugal
,,05/17/2014 16:28,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 16:42,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 17:27,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 17:42,Porto,Portugal
,,05/17/2014 18:43,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 18:58,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 19:12,Porto,Portugal
,,05/17/2014 19:27,Porto,Portugal
,,05/17/2014 19:43,Porto,Portugal
,,05/17/2014 19:58,Porto,Portugal
,,05/17/2014 20:13,Porto,Portugal
,,05/17/2014 20:28,Porto,Portugal
,,05/17/2014 20:43,Porto,Portugal
,,05/17/2014 20:57,Porto,Portugal
,,05/17/2014 21:12,Porto,Portugal
,,05/17/2014 21:42,Porto,Portugal
,,05/17/2014 22:12,Porto,Portugal
,,05/17/2014 22:42,Porto,Portugal
,,05/17/2014 22:58,Porto,Portugal
,,05/17/2014 23:12,Porto,Portugal
,,05/17/2014 23:43,Porto,Portugal
,,05/17/2014 23:58,Porto,Portugal
,,05/18/2014 00:28,Porto,Portugal
,,05/18/2014 00:58,Porto,Portugal
,,05/18/2014 01:28,Porto,Portugal
,,05/18/2014 01:58,Porto,Portugal
,,05/18/2014 02:12,Porto,Portugal
,,05/18/2014 02:27,Porto,Portugal
,,05/18/2014 03:28,Porto,Portugal
,,05/18/2014 03:58,Porto,Portugal
,,05/18/2014 05:12,Porto,Portugal
,,05/18/2014 05:42,Porto,Portugal
,,05/18/2014 06:13,Porto,Portugal
,,05/18/2014 06:43,Porto,Portugal
,,05/18/2014 06:58,Porto,Portugal
,,05/18/2014 07:12,Porto,Portugal
,,05/18/2014 07:27,Porto,Portugal
,,05/18/2014 07:42,Porto,Portugal
,,05/18/2014 07:57,Porto,Portugal
,,05/18/2014 08:13,Porto,Portugal
,,05/18/2014 08:43,Porto,Portugal
,,05/18/2014 09:12,Porto,Portugal
,,05/18/2014 09:42,Porto,Portugal
,,05/18/2014 09:57,Porto,Portugal
,,05/18/2014 10:27,Porto,Portugal
,,05/18/2014 11:12,Porto,Portugal
,,05/18/2014 11:42,Porto,Portugal
,,05/18/2014 12:12,Porto District,Portugal
,,05/18/2014 12:58,Porto,Portugal
,,05/18/2014 13:27,Vila Nova de Gaia Municipality,Portugal
,,05/18/2014 13:57,Porto,Portugal
,,05/18/2014 14:28,Vila Nova de Gaia Municipality,Portugal
,,05/18/2014 14:57,Vila Nova de Gaia Municipality,Portugal
,,05/18/2014 15:13,Porto,Portugal
,,05/18/2014 15:42,Porto,Portugal
,,05/18/2014 15:57,Porto,Portugal
,,05/18/2014 16:12,Vila Nova de Gaia Municipality,Portugal
,,05/18/2014 16:58,Porto,Portugal
,,05/18/2014 17:12,Porto,Portugal
,,05/18/2014 17:42,Porto,Portugal
,,05/18/2014 17:55,Porto,Portugal
,,05/18/2014 18:10,Porto,Portugal
,,05/18/2014 18:40,Porto,Portugal
,,05/18/2014 18:55,Maia Municipality,Portugal
,,05/18/2014 19:25,Matosinhos,Portugal
,,05/18/2014 19:55,Maia,Portugal
,,05/18/2014 20:10,Matosinhos,Portugal
,,05/18/2014 22:35,El Prat de Llobregat,Spain
,,05/18/2014 22:49,Viladecans,Spain
